                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.93041,                 1.0749,                0.47831,                0.87007,                0.96669,                0.95148,                0.98234,                0.62619,                0.90707,                 0.8801,                0.87009,                 0.3791,                 1.2005,                 2.0789,                0.56963,                0.91623,             0.00079162,             0.00079162,             0.00079162
                     86,                 0.9423,                0.93656,                0.48513,                0.84434,                0.94578,                0.95902,                0.98283,                0.62141,                 0.8778,                0.88525,                0.85535,                0.35686,                 1.1983,                  2.029,                0.57758,                0.91541,             0.00077706,             0.00077706,             0.00077706
                     87,                0.84694,                0.85099,                0.44961,                0.83243,                0.93598,                0.95902,                0.97568,                0.61801,                 0.8642,                0.88525,                0.84166,                0.34312,                 1.2061,                 2.0178,                0.57912,                0.91756,              0.0007625,              0.0007625,              0.0007625
                     88,                0.86395,                0.83626,                0.46304,                0.84018,                0.93659,                0.95902,                0.97306,                0.59874,                0.86604,                0.88525,                0.83049,                 0.3058,                 1.2572,                  2.055,                 0.5695,                0.92749,             0.00074794,             0.00074794,             0.00074794
                     89,                0.88227,                0.91062,                0.46065,                 0.8569,                0.95121,                0.95889,                0.97379,                0.59654,                0.86997,                0.87744,                0.82376,                0.30002,                 1.2766,                 2.1217,                0.56912,                0.93409,             0.00073338,             0.00073338,             0.00073338
                     90,                0.90227,                0.98032,                0.49168,                0.85128,                0.95135,                0.96721,                0.97914,                0.62132,                0.89478,                0.90984,                0.86969,                0.32854,                 1.2332,                 2.0557,                0.55462,                0.92813,             0.00071882,             0.00071882,             0.00071882
                     91,                 0.9111,                 1.0067,                0.46844,                0.86775,                0.98301,                0.94855,                0.98942,                0.67144,                0.95753,                0.92396,                 0.9451,                0.40977,                 1.0834,                 1.6711,                0.54721,                0.89135,             0.00070426,             0.00070426,             0.00070426
                     92,                0.91765,                0.97352,                0.47676,                0.86378,                0.97421,                0.95902,                0.98772,                0.66808,                0.94086,                0.92623,                0.92791,                0.43273,                 1.0695,                 1.5949,                0.57902,                0.88495,             0.00068971,             0.00068971,             0.00068971
                     93,                0.86526,                 0.8566,                0.45222,                 0.8389,                0.97515,                0.96513,                0.98367,                0.65753,                0.93375,                 0.9242,                0.91835,                0.43181,                 1.0895,                  1.655,                 0.5942,                0.88962,             0.00067515,             0.00067515,             0.00067515
                     94,                0.88627,                0.94021,                 0.4511,                0.84853,                0.95861,                0.94931,                0.96374,                0.63708,                0.91723,                 0.9084,                0.90036,                 0.3914,                  1.135,                 1.8477,                0.61313,                 0.8945,             0.00066059,             0.00066059,             0.00066059
                     95,                0.92217,                0.84065,                0.45834,                0.85611,                0.95858,                0.94857,                0.95953,                0.62023,                0.91718,                0.90775,                 0.8959,                0.36373,                  1.165,                 2.0313,                0.64357,                0.89642,             0.00064603,             0.00064603,             0.00064603
                     96,                0.87172,                0.91921,                0.43669,                0.86058,                0.97432,                0.93306,                0.95919,                0.63149,                0.93154,                0.89222,                0.89815,                0.37563,                 1.1426,                 2.1107,                0.64999,                0.89351,             0.00063147,             0.00063147,             0.00063147
                     97,                0.87021,                0.84908,                0.43843,                  0.826,                0.98289,                0.94157,                0.96357,                0.65839,                0.94013,                0.90097,                0.91562,                0.40609,                 1.0945,                 2.1874,                0.63448,                0.88879,             0.00061691,             0.00061691,             0.00061691
                     98,                0.83436,                0.87498,                0.44031,                0.83845,                0.98092,                0.94262,                0.96772,                 0.6928,                 0.9552,                0.91803,                0.93698,                0.43982,                 1.0171,                 2.1284,                0.61904,                0.87884,             0.00060235,             0.00060235,             0.00060235
